"comment","id","location","location2","sticker","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname"
"Agricola: All Creatures Big and Small","119890","Vraag ons personeel!","","","","","","110495603","70.714","733.453","23.502","394","19876","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small – The Big Box","255262","Vraag ons personeel!","","","","","","110495622","647.416","765.266","23.051","0","4474","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2018","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","English","2018","English second edition"
"Airlines Europe","90419","Vraag ons personeel!","","","","","","110595000","688.982","729.736","24.352","592","8200","thing","Airlines Europe","2","5","75","75","75","2011","3,4,2005","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2011","German first edition"
"Alhambra","6249","Vraag ons personeel!","","","","","","110495689","690.893","703.243","21.009","565","42134","thing","Alhambra","2","6","60","60","45","2019","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch  English  French  German","2019","Queen multilingual edition 2019"
"Allie Gator","351857","Vraag ons personeel!","","","","","","110593801","549.966","560.429","1","22092","180","thing","Allie Gator","2","5","25","25","25","2022","2,3,2004","2,4","8+","","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2022","German edition, first printing"
"Anno 1800: Das Brettspiel","311193","Vraag ons personeel!","","","","","","119456497","719.738","772.911","31.265","286","10997","thing","Anno 1800: The Board Game","1","4","120","120","120","2020","2,3,2004","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2020","German edition, first printing"
"Anno Domini: Frauen","17924","Vraag ons personeel!","","","","","","110490456","558.175","682.734","14.615","9389","365","thing","Anno Domini: Frauen","2","8","30","30","30","1999","2,3,4,5,6","4,5","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  Fata Morgana Spiele","German","1999","German edition"
"Anno Domini: Sport","17995","Vraag ons personeel!","","","","","","110490447","556.894","662.296","1.4","10233","332","thing","Anno Domini: Sport","2","8","30","30","30","2000","2,3,4,5,6","4,5","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  Fata Morgana Spiele","German","2000","First edition"
"Anubixx","287693","Vraag ons personeel!","","","","","","110489922","560.818","619.268","12.222","8071","872","thing","Anubixx","2","5","20","20","20","2019","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Nürnberger-Spielkarten-Verlag","German","2019","German-only edition"
"Apokalypse","39202","Vraag ons personeel!","","","","","","112785002","0","581.579","16.667","0","79","thing","Apokalypse","2","6","90","90","90","2008","2,4,2006","2,4,2006","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Sphinx Spieleverlag","German","2008","German edition"
"Applejack","367662","Vraag ons personeel!","","","","","","110493401","597.871","681.059","19.268","3007","1224","thing","Applejack","1","4","60","60","30","2022","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","The Game Builders","German","2022","German edition"
"Aqua Romana","20080","Vraag ons personeel!","","","","","","112783263","584.917","630.837","21.636","3917","2342","thing","Aqua Romana","2","4","60","60","45","2006","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch  English  French  German  Italian  Spanish","2006","Queen multilingual edition"
"Arboretum","140934","Vraag ons personeel!","","","","","","110493164","710.492","729.357","21.279","361","37622","thing","Arboretum","2","4","30","30","30","2021","2,3,2004","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","German","2021","German second edition"
"Arche Nova","342942","Vraag ons personeel!","","","","","","110494335","833.437","853.511","37.601","4","63118","thing","Ark Nova","1","4","150","150","90","2022","1,2,2003","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2022","German edition, second printing"
"Arkham Horror: Das Kartenspiel (Revised Edition)","359609","Vraag ons personeel!","","","","","","110494697","708.724","865.135","37.059","381","6640","thing","Arkham Horror: The Card Game (Revised Edition)","1","4","180","180","45","2021","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","German","2021","German edition"
"Asara","72991","Vraag ons personeel!","","","","","","110495313","637.345","700.551","23.417","1502","3999","thing","Asara","2","4","45","45","45","2010","2,3,2004","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2010","German edition"
"Asara: Die Gaben des Kalifen","108861","Vraag ons personeel!","","","","","","111195897","5.567","726.543","24.286","0","406","thing","Asara: Die Gaben des Kalifen","2","4","50","50","50","2011","2,3,2004","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Ravensburger  W. Nostheide Verlag GmbH","German","2011","SpielBox German Edition"
"Auf Achse","110","Vraag ons personeel!","","","","","","110496222","583.892","623.483","19.603","3997","3238","thing","Auf Achse","2","6","60","60","60","1987","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","F.X. Schmid","German","1987","F.X. Schmid German second edition 1987"
"Azul","230802","Vraag ons personeel!","","","","","","111399687","763.823","774.868","1.763","77","145549","thing","Azul","2","4","45","45","30","2018","2,3,2004","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games  Pegasus Spiele  Plan B Games","German","2018","German second edition with SdJ"
"Azul: Die Buntglasfenster von Sintra","256226","Vraag ons personeel!","","","","","","111122019","702.033","730.924","20.037","438","21982","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","German","2018","German edition"
"Azul: Meister-Chocolatier","363247","Vraag ons personeel!","","","","","","111164132","661.027","790.986","18.043","1003","5128","thing","Azul: Master Chocolatier","2","4","45","45","30","2022","2,3,2004","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","German","2022","German edition"
"Backgammon","2397","Vraag ons personeel!","","","","","","111690304","63.691","65.635","20.122","1511","22577","thing","Backgammon","2","2","30","30","30","2002","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Piatnik","German","2002","Piatnik Massivem Holz Edition"
"Backgammon 2","2556","f","f","f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bad Company","340677","Vraag ons personeel!","","","","","","110496768","649.432","732.536","18.909","1222","3895","thing","Bad Company","1","6","30","30","30","2023","1,2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Aporta Games","English","2023","English second edition"
"Bali","1352","Vraag ons personeel!","","","","","","110958736","555.244","604.286","27.778","11611","625","thing","Bali","3","4","60","60","60","2001","3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2001","German edition"
"Bananagrams","27225","Vraag ons personeel!","","","","","","110657456","620.352","639.652","12.989","2007","25155","thing","Bananagrams","1","8","15","15","15","2016","2,3,4,5,6","3,4,2005","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Game Factory","German","2016","German edition"
"Bandido","191925","Vraag ons personeel!","","","","","","111760143","612.407","642.175","1.1","2338","10660","thing","Bandido","1","4","15","15","10","2016","1,2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Helvetiq","Dutch  English  French  German  Italian  Spanish","2016","Western European edition"
"BANG!","3955","Vraag ons personeel!","","","","","","110657748","633.008","648.952","16.319","1607","41297","thing","BANG!","4","7","40","40","20","2015","5,6,2007","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  DV Games","German","2015","ABACUSSPIELE German edition 2015"
"BANG! The Dice Game","143741","Vraag ons personeel!","","","","","","110490846","674.366","68.959","12.766","789","39393","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  DV Games","German","2013","German edition"
"BANG! The Duel","182094","Vraag ons personeel!","","","","","","110657786","579.575","63.897","18.837","4396","3430","thing","BANG! The Duel","2","2","30","30","30","2016","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  DV Games","German","2016","German edition"
"Barbarossa und die Rätselmeister","550","Vraag ons personeel!","","","","","","110496292","582.121","632.128","15.524","4160","2753","thing","Barbarossa","3","4","60","60","60","1988","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ASS Altenburger Spielkarten","German","1988","ASS German first edition 1988"
"Bärenpark","219513","Vraag ons personeel!","","","","","","110493927","709.246","729.403","16.575","374","25586","thing","Bärenpark","2","4","45","45","30","2017","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lookout Games  Mayfair Games","English  German","2017","English/German second edition"
"Battle Line: Medieval","297985","Vraag ons personeel!","","","","","","110494483","644.665","764.437","18.333","1331","3292","thing","Battle Line: Medieval","2","2","30","30","30","2019","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","GMT Games","English","2019","GMT English edition"
"Die Baumeister von Arkadia","25643","Vraag ons personeel!","","","","","","110856236","644.552","691.189","25.689","1335","4684","thing","Arkadia","2","4","60","60","45","2007","2,3,2004","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2007","Ravensburger German edition with SdJ logo"
"Beam me up","281680","Vraag ons personeel!","","","","","","110657285","55.143","586.942","1.2","18530","195","thing","Beam me up","2","4","20","20","20","2019","2,3,2004","4","8+","","","","","","","standalone","","","","","","","","","","","","moses. Verlag GmbH","German","2019","German edition"
"Beasty Bar","165950","Vraag ons personeel!","","","","","","110663835","635.298","679.934","1.413","1550","6881","thing","Beasty Bar","2","4","20","20","20","2019","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English  German","2019","English/German-only edition"
"Belratti","259374","Vraag ons personeel!","","","","","","110490790","620.194","71.102","10.789","2015","2488","thing","Belratti","3","8","45","45","20","2023","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2023","German second edition, first printing"
"Berserk: War of the Realms","131332","Vraag ons personeel!","","","","","","112788786","559.172","6.275","27.222","8826","1095","thing","Berserk: War of the Realms","2","4","60","60","40","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Asmodee  Hobby World","English","2013","English edition"
"Between Two Cities Essential Edition","369635","Vraag ons personeel!","","","","","","110490470","570.279","738.545","17.778","5669","919","thing","Between Two Cities Essential Edition","1","7","30","30","30","2022","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stonemaier Games","English","2022","English edition"
"Beyond the Sun","317985","Vraag ons personeel!","","","","","","110490934","759.897","792.911","31.259","84","16923","thing","Beyond the Sun","2","4","120","120","60","2021","2,3,2004","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Strohmann Games","German","2021","German edition"
"Bezzerwizzer","32441","Vraag ons personeel!","","","","","","110489880","602.117","641.438","15.583","2782","6274","thing","Bezzerwizzer","2","12","45","45","45","2021","3,4,5,6,8,9,10,12","4,8","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Asmodee","German","2021","German dark blue edition"
"Bezzerwizzer","32441","Vraag ons personeel!","","","","","","117947422","602.117","641.438","15.583","2782","6274","thing","Bezzerwizzer","2","12","45","45","45","2008","3,4,5,6,8,9,10,12","4,8","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Mattel, Inc.","German","2008","German green edition 2008"
"Biberbande","3837","Vraag ons personeel!","","","","","","110491975","592.557","623.858","1.119","3355","8473","thing","Rat-a-Tat Cat","2","6","10","10","10","2018","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2018","German third edition"
"BioShock Infinite: The Siege of Columbia","132428","Vraag ons personeel!","","","","","","110658670","588.597","666.646","2.902","3633","3233","thing","BioShock Infinite: The Siege of Columbia","2","4","90","90","60","2013","2,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2013","English edition"
"Biss 20","318195","Vraag ons personeel!","","","","","","110491987","576.729","696.207","1.25","4715","1100","thing","Biss 20","2","8","20","20","20","2020","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","English  French  German  Italian  Spanish","2020","EN/FR/DE/IT/SP edition"
"Black Stories: Das Spiel","372135","Vraag ons personeel!","","","","","","111766301","0","72.825","0","0","73","thing","Black Stories: Das Spiel","1","4","45","45","45","2022","","","","","","","","","","standalone","","","","","","","","","","","","moses. Verlag GmbH","German","2022","German edition"
"Black Stories: Köln Edition","43040","Vraag ons personeel!","","","","","","110488377","0","5.8","1","0","81","thing","Black Stories: Köln Edition","2","15","20","20","20","2009","","","","","","","","","","standalone","","","","","","","","","","","","moses. Verlag GmbH","German","2009","German edition"
"Black Stories: Nele Neuhaus Edition","281653","Vraag ons personeel!","","","","","","110492894","0","666.667","0","0","33","thing","Black Stories: Nele Neuhaus Edition","2","99","222","222","2","2019","","","","","","","","","","standalone","","","","","","","","","","","","moses. Verlag GmbH","German","2019","German edition"
"Blitz-Dings","142271","Vraag ons personeel!","","","","","","111017112","615.705","709.275","10.208","2188","3902","thing","Anomia: Party Edition","3","6","30","30","30","2014","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2014","German edition"
"Blitzdings","67877","Vraag ons personeel!","","","","","","110685750","628.038","668.651","10.414","1748","9242","thing","Anomia","3","6","30","30","30","2014","3,4,5,6","5","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2014","German first edition"
"Blood Bound","130877","Vraag ons personeel!","","","","","","110493073","595.025","65.782","16.324","3171","2561","thing","Blood Bound","6","12","30","30","30","2013","6,7,8,9,10,11,12","8,1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Heidelberger Spieleverlag","German","2013","German edition"
"Blood Rage","170216","Vraag ons personeel!","","","","","","111728130","775.722","792.975","28.791","49","56227","thing","Blood Rage","2","4","90","90","60","2019","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Asmodee  CMON Global Limited","German","2019","German fourth edition"
"Blueprints","140933","Vraag ons personeel!","","","","","","112785701","648.062","679.615","16.842","1253","9038","thing","Blueprints","2","4","30","30","30","2014","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","German","2014","German edition"
"Bluff Jubiläumsausgabe","245136","Vraag ons personeel!","","","","","","110660268","57.874","678.999","11.034","4493","1185","thing","Bluff Jubiläumsausgabe","2","6","30","30","30","2018","3,4,5,6","4,5,2006","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2018","German edition"
"La Boca","136280","Vraag ons personeel!","","","","","","110587019","622.918","695.385","13.626","1918","2376","thing","La Boca","3","6","40","40","40","2013","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2013","German edition"
"Boggle","1293","Vraag ons personeel!","","","","","","112101636","602.388","623.213","1.463","2767","14510","thing","Boggle","1","8","10","10","10","1992","2,3,4,5,6,7","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Parker Brothers","German","1992","Parker  Tonka German edition 1992"
"Bohnanza","11","Vraag ons personeel!","","","","","","110497714","694.375","705.886","16.677","526","72881","thing","Bohnanza","2","7","45","45","45","2016","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2016","German edition without QR code 2016"
"Brass: Birmingham","224517","","","","","","","110496376","841.593","859.813","38.808","1","64075","thing","Brass: Birmingham","2","4","120","120","60","2022","2,3,2004","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Giant Roc  Roxley","German","2022","German second edition"
"Brew","332386","","","","","","","110495926","646.489","708.052","23.699","1289","7632","thing","Brew","2","4","90","90","45","2022","2,3,2004","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2022","German edition"
"Brick Party","181161","","","","","","","110656327","574.033","661.855","1.375","5078","1274","thing","Brick Party","2","9","30","30","15","2015","2,4,6,8","4,6,2008","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Heidelberger Spieleverlag  Post Scriptum","German","2015","German edition"
"Bring Your Own Book","173441","","","","","","","110657234","584.187","675.203","1.1","3966","2031","thing","Bring Your Own Book","3","8","20","20","20","2017","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Noris Spiele","German","2017","German edition"
"Bronze","230746","","","","","","","110657426","561.179","683.316","24.286","7934","323","thing","Bronze","2","4","90","90","45","2019","2,3,2004","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Hobby World  Kobold Spieleverlag","German","2019","German edition"
"Broom Service","172308","","","","","","","110496911","686.565","716.731","24.025","623","16590","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","alea  Ravensburger","German","2015","German second edition"
"Burg Appenzell","28089","","","","","","","110497813","622.985","686.337","1.588","1914","3527","thing","Burg Appenzell","2","4","30","30","30","2022","2,3,2004","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English  French  German","2022","EN/FR/DE edition"
"Burgle Bros.","172081","","","","","","","110493863","710.935","74.365","23.049","356","17919","thing","Burgle Bros.","1","4","90","90","45","2017","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fowers Games","German","2017","German edition"
"Butterfly Garden","116954","","","","","","","110655111","631.295","684.965","1.472","1648","4961","thing","Butterfly Garden","2","4","30","30","30","2012","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ca$h 'n Gun$","19237","","","","","","","110496168","635.921","655.411","12.757","1532","9368","thing","Ca$h 'n Gun$","4","6","30","30","30","2007","4,5,2006","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Heidelberger Spieleverlag  Repos Production","German","2007","German second edition"
"Cabanga!","394889","","","","","","","113746720","572.435","680.888","10.769","5304","912","thing","Cabanga!","3","6","20","20","20","2023","4,5,2006","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2023","German edition"
"CABO","73664","","","","","","","110657262","62.506","71.063","12.143","1841","3512","thing","Cabo","2","5","30","30","30","2016","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Smiling Monster Games","English  French  German","2016","Multilingual edition 2016"
"Caesar & Cleopatra","132","","","","","","","110488471","609.254","639.667","19.084","2455","7902","thing","Caesar & Cleopatra","2","2","60","60","60","1997","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","1997","German first edition"
"Caesar!: Erobere Rom in 20 Minuten!","338957","","","","","","","110492089","668.857","757.261","19.318","879","5264","thing","Caesar!: Seize Rome in 20 Minutes!","1","2","20","20","20","2022","1,2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schwerkraft-Verlag","German","2022","German edition"
"Café International","214","","","","","","","110496369","589.677","621.307","16.498","3542","4368","thing","Café International","2","4","60","60","45","2013","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2013","AMIGO German edition 2013"
"Café International: Das Kartenspiel","1324","","","","","","","110488158","55.679","573.594","13.176","10303","2042","thing","Café International: Das Kartenspiel","2","5","45","45","45","2001","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2001","German edition"
"Calico","283155","","","","","","","110491827","727.923","753.668","21.786","233","33154","thing","Calico","1","4","45","45","30","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group  Flatout Games  Ravensburger","German","2021","German edition"
"Camel Up (Second Edition)","260605","","","","","","","110493448","723.843","757.656","14.943","261","21516","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","eggertspiele  Pegasus Spiele","German","2018","German edition"
"Can't Stop","41","","","","","","","110492289","675.293","691.155","11.481","771","17877","thing","Can't Stop","2","4","30","30","30","2021","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","franjos Spieleverlag","German","2021","franjos German edition 2021"
"Cantaloop: Buch 1 – Einbruch in den Knast","325555","","","","","","","111376964","625.211","743.723","20.968","1839","3059","thing","Cantaloop: Book 1 – Breaking into Prison","1","4","720","720","300","2020","1,2","1,2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Lookout Games","German","2020","German edition"
"Captain Sonar","171131","","","","","","","110496704","730.873","751.936","21.914","217","30152","thing","Captain Sonar","2","8","60","60","45","2020","6,7,2008","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2020","German edition 2020"
"Carcassonne","822","","","","","","","110491823","729.721","741.052","18.933","224","194997","thing","Carcassonne","2","5","45","45","30","2021","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Hans im Glück","German","2021","German edition 2021"
